city_id,city_name_zh,city_name_en,boundary_file,grid_file,indicator_file,facility_file,network_node_file,network_edge_file,elevation_file,metadata_file,download_file,facility_count,network_edge_count,grid_count,extract_date
beijing,北京,Beijing,beijing/boundary.geojson,beijing/analysis_grid.geojson,beijing/grid_indicators.csv,beijing/facilities.geojson,beijing/network_nodes.geojson,beijing/network_edges.geojson,beijing/elevation_250m.tif,beijing/metadata.json,beijing/beijing_course_data.zip,135,10052,64,2026-08-24
shanghai,上海,Shanghai,shanghai/boundary.geojson,shanghai/analysis_grid.geojson,shanghai/grid_indicators.csv,shanghai/facilities.geojson,shanghai/network_nodes.geojson,shanghai/network_edges.geojson,shanghai/elevation_250m.tif,shanghai/metadata.json,shanghai/shanghai_course_data.zip,265,14252,64,2026-08-24
nanjing,南京,Nanjing,nanjing/boundary.geojson,nanjing/analysis_grid.geojson,nanjing/grid_indicators.csv,nanjing/facilities.geojson,nanjing/network_nodes.geojson,nanjing/network_edges.geojson,nanjing/elevation_250m.tif,nanjing/metadata.json,nanjing/nanjing_course_data.zip,157,3777,64,2026-08-24
guangzhou,广州,Guangzhou,guangzhou/boundary.geojson,guangzhou/analysis_grid.geojson,guangzhou/grid_indicators.csv,guangzhou/facilities.geojson,guangzhou/network_nodes.geojson,guangzhou/network_edges.geojson,guangzhou/elevation_250m.tif,guangzhou/metadata.json,guangzhou/guangzhou_course_data.zip,227,14228,64,2026-08-24
chengdu,成都,Chengdu,chengdu/boundary.geojson,chengdu/analysis_grid.geojson,chengdu/grid_indicators.csv,chengdu/facilities.geojson,chengdu/network_nodes.geojson,chengdu/network_edges.geojson,chengdu/elevation_250m.tif,chengdu/metadata.json,chengdu/chengdu_course_data.zip,66,5723,64,2026-08-24
wuhan,武汉,Wuhan,wuhan/boundary.geojson,wuhan/analysis_grid.geojson,wuhan/grid_indicators.csv,wuhan/facilities.geojson,wuhan/network_nodes.geojson,wuhan/network_edges.geojson,wuhan/elevation_250m.tif,wuhan/metadata.json,wuhan/wuhan_course_data.zip,59,6473,64,2026-08-24
xian,西安,Xi'an,xian/boundary.geojson,xian/analysis_grid.geojson,xian/grid_indicators.csv,xian/facilities.geojson,xian/network_nodes.geojson,xian/network_edges.geojson,xian/elevation_250m.tif,xian/metadata.json,xian/xian_course_data.zip,92,3217,64,2026-08-24
hangzhou,杭州,Hangzhou,hangzhou/boundary.geojson,hangzhou/analysis_grid.geojson,hangzhou/grid_indicators.csv,hangzhou/facilities.geojson,hangzhou/network_nodes.geojson,hangzhou/network_edges.geojson,hangzhou/elevation_250m.tif,hangzhou/metadata.json,hangzhou/hangzhou_course_data.zip,164,7608,64,2026-08-24
