city_id,city_name_zh,city_name_en,center_lon,center_lat,ghsl_uc_id,ghsl_urban_area_km2_2025,ghsl_population_2025,ghsl_population_density_km2_2025,ghsl_gdp_total_ppp_2020,ghsl_hdi_2020,osm_facility_count,osm_transit_count,osm_healthcare_count,osm_education_count,osm_park_count,osm_network_node_count,osm_network_edge_count,osm_network_length_km,srtm_minimum_elevation_m,srtm_maximum_elevation_m,srtm_mean_elevation_m,extract_date
beijing,北京,Beijing,116.4074,39.9042,8745,2179,18150575,8329.77,649000000000,0.903,135,115,11,6,0,8300,10052,336.109,40,113,50.6,2026-08-24
shanghai,上海,Shanghai,121.4737,31.2304,11345,3128,30678616,9807.74,984000000000,0.8719335,265,218,18,16,3,12794,14252,470.959,0,64,11.55,2026-08-24
nanjing,南京,Nanjing,118.7969,32.0603,10887,1012,8061028,7965.44,244000000000,0.805,157,105,11,34,3,3454,3777,202.274,4,252,20.68,2026-08-24
guangzhou,广州,Guangzhou,113.2644,23.1291,10933,6454,42987704,6660.63,1070000000000,0.794,227,161,34,27,0,13594,14228,357.015,0,76,17.25,2026-08-24
chengdu,成都,Chengdu,104.0668,30.5728,6378,867,5609626,6470.16,116000000000,0.736,66,64,2,0,0,4929,5723,355.743,472,510,483.4,2026-08-24
wuhan,武汉,Wuhan,114.3055,30.5928,10131,772,8079484,10465.65,202000000000,0.771,59,19,4,35,0,5716,6473,309.654,11,56,26.18,2026-08-24
xian,西安,Xi'an,108.9398,34.3416,8006,691,5298991,7668.58,125000000000,0.763,92,90,0,1,0,2782,3217,254.801,369,409,382.47,2026-08-24
hangzhou,杭州,Hangzhou,120.1551,30.2741,11311,1517,6387063,4210.32,139000000000,0.796,164,141,5,8,2,6826,7608,345.055,4,113,17.14,2026-08-24
